"Taxon","Exclude","Hybrid","US","Standard","US_East","US_Gulf","US_West","Oligochaeta"
"Maldanidae","Yes",,,,"I","I",,"No"
"Malmgrenia",,"II",,"II",,,,"No"
"Malmgrenia andreapolis",,"II",,"II",,,,"No"
"Malmgrenia arenicolae",,"II",,"II",,,,"No"
"Malmgrenia castanea",,"II",,"II",,,,"No"
"Malmgrenia furcosetosa",,"II",,"II",,,,"No"
"Malmgrenia glabra",,"II",,"II",,,,"No"
"Malmgrenia ljungmani",,"II",,"II",,,,"No"
"Malmgrenia lunulata",,"II",,"II",,,,"No"
"Malmgrenia marphysae",,"II",,"II",,,,"No"
"Malmgreniella",,"III","III","II",,"III","II","No"
"Malmgreniella andreapolis",,"II",,"II",,,,"No"
"Malmgreniella arenicolae",,"II",,"II",,,,"No"
"Malmgreniella bansei",,"II","II",,,,"II","No"
"Malmgreniella castanea",,"II",,"II",,,,"No"
"Malmgreniella glabra",,"II",,"II",,,,"No"
"Malmgreniella lilianae",,"II",,"II",,,,"No"
"Malmgreniella ljungmani",,"II",,"II",,,,"No"
"Malmgreniella lunulata",,"II",,"II",,,,"No"
"Malmgreniella maccraryae",,"II",,"II",,,,"No"
"Malmgreniella macginitiei",,"II","II",,,,"II","No"
"Malmgreniella marphysae",,"II",,"II",,,,"No"
"Malmgreniella mcintoshi",,"II",,"II",,,,"No"
"Malmgreniella scriptoria",,"II","II",,,,"II","No"
"Malmgreniella taylori",,"II","II","II",,"II",,"No"
"Manayunkia",,"III",,"III",,,,"No"
"Manayunkia aestuarina",,"III","III","III",,"III","III","No"
"Manayunkia speciosa",,"III",,"III",,,,"No"
"Mancocuma stellifera",,"II","II",,,"II",,"No"
"Mancocuma stelliferum",,"II","II",,,"II",,"No"
"Mandibulophoxus gilesi",,"I","I",,,,"I","No"
"Mangelia",,"II",,"II",,,,"No"
"Mangelia attenuata",,"II",,"II",,,,"No"
"Mangelia brachystoma",,"I",,"I",,,,"No"
"Mangelia coarctata",,"II",,"II",,,,"No"
"Mangelia costata",,"II",,"II",,,,"No"
"Mangelia costulata",,"I",,"I",,,,"No"
"Mangelia nebula",,"I",,"I",,,,"No"
"Mangelia powisiana",,"I",,"I",,,,"No"
"Mangelia smithii",,"II",,"II",,,,"No"
"Mangelia wareni",,"II",,"II",,,,"No"
"Manzonia crassa",,"I",,"I",,,,"No"
"Marenzelleria",,"II",,"II",,,,"No"
"Marenzelleria neglecta",,"II",,"II",,,,"No"
"Marenzelleria viridis",,"III","III","II","III",,,"No"
"Marenzelleria wireni",,"III",,"III",,,,"No"
"Maretia planulata",,"I",,"I",,,,"No"
"Margarites pupillus",,"I","I",,,,"I","No"
"Marionina",,"V",,"V",,,,"No"
"Marionina argentea",,"V",,"V",,,,"No"
"Marionina riparia",,"V",,"V",,,,"No"
"Marphysa",,"II","II","II",,,"II","No"
"Marphysa adenensis",,"II",,"II",,,,"No"
"Marphysa angelensis",,"III",,"III",,,,"No"
"Marphysa bellii",,"II",,"II",,,,"No"
"Marphysa disjuncta",,"II",,"II",,,,"No"
"Marphysa fallax",,"II",,"II",,,,"No"
"Marphysa kinbergi",,"II",,"II",,,,"No"
"Marphysa mortenseni",,"II",,"II",,,,"No"
"Marphysa sanguinea",,"I","I","II","I",,,"No"
"Marphysa stragulum",,"II",,"II",,,,"No"
"Marphysa stylobranchiata",,"II",,"II",,,,"No"
"Marshallora",,"I",,"I",,,,"No"
"Marshallora adversa",,"I",,"I",,,,"No"
"Marthasterias glacialis",,"I",,"I",,,,"No"
"Mastobranchus trinchesii",,"V",,"V",,,,"No"
"Mastobranchus variabilis",,"V",,"V",,,,"No"
"Matuta lunaris",,"II",,"II",,,,"No"
"Matuta planipes",,"II",,"II",,,,"No"
"Mayerella acanthopoda",,"II",,"II",,,,"No"
"Mayerella banksia",,"II","II","II",,,"II","No"
"Mayerella limicola",,"II","II",,"II",,,"No"
"Medicorophium affine",,"III",,"III",,,,"No"
"Mediomastus",,"III","III","III","IV","IV","III","No"
"Mediomastus acutus",,"I","I",,,,"I","No"
"Mediomastus ambiseta",,"IV","IV","III","IV","IV","III","No"
"Mediomastus californiensis",,"III","III","III","III","IV","III","No"
"Mediomastus capensis",,"IV",,"IV",,,,"No"
"Mediomastus filiformis",,"IV",,"IV",,,,"No"
"Mediomastus fragilis",,"III",,"III",,,,"No"
"Mediomastus gracilis",,"III",,"III",,,,"No"
"Megalomma",,"II","II","II",,"II",,"No"
"Megalomma bioculatum",,"II","II","II",,"II",,"No"
"Megalomma linaresi",,"II",,"II",,,,"No"
"Megalomma monoculata",,"II",,"II",,,,"No"
"Megalomma pigmentum",,"II","II","II",,"II","II","No"
"Megalomma splendida",,"II","II",,,,"II","No"
"Megalomma vesiculosum",,"I",,"I",,,,"No"
"Megaluropus",,"I",,"I",,,,"No"
"Megaluropus agilis",,"I",,"I",,,,"No"
"Megaluropus massiliensis",,"I",,"I",,,,"No"
"Megamoera subtener",,"II",,"II",,,,"No"
"Megamphopus",,"I",,"I",,,,"No"
"Megamphopus cornutus",,"I",,"I",,,,"No"
"Meganyctiphanes",,"I",,"I",,,,"No"
"Meganyctiphanes norvegica",,"I",,"I",,,,"No"
"Megastraea undosa",,"I",,"I",,,,"No"
"Meioceras nitidum",,"I","I",,,"I",,"No"
"Melampus bullaoides",,"II",,"II",,,,"No"
"Melampus olivaceus",,"II",,"II",,,,"No"
"Melanella",,"I",,"I",,,,"No"
"Melanella alba",,"I",,"I",,,,"No"
"Melanella bilineata",,"I",,"I",,,,"No"
"Melanella compactilis",,"I",,"I",,,,"No"
"Melanella cumingi",,"I",,"I",,,,"No"
"Melanella freilei",,"I",,"I",,,,"No"
"Melanella lubrica",,"I",,"I",,,,"No"
"Melanella monterosatoi",,"I",,"I",,,,"No"
"Melanella polita",,"I",,"I",,,,"No"
"Melanochlamys diomedea",,"I","I","I",,,"I","No"
"Melanoides tuberculatus",,"IV",,"IV",,,,"No"
"Melarhaphe neritoides",,"II",,"II",,,,"No"
"Melinna",,"III",,"III",,,,"No"
"Melinna cristata",,"II","II","III",,,"II","No"
"Melinna elisabethae",,"III",,"III",,,,"No"
"Melinna maculata",,"II","II","III","III","II",,"No"
"Melinna monoceroides",,"III",,"III",,,,"No"
"Melinna oculata",,"II","II",,,,"II","No"
"Melinna palmata",,"III",,"III",,,,"No"
"Melinnampharete laubieri",,"I",,"I",,,,"No"
"Melinnexis",,"III",,"III",,,,"No"
"Melinnopsis arctica",,"I",,"I",,,,"No"
"Melinnopsis rostrata",,"I",,"I",,,,"No"
"Melita",,"I",,"I",,,,"No"
"Melita coroninii",,"I",,"I",,,,"No"
"Melita gladiosa",,"III",,"III",,,,"No"
"Melita hergensis",,"I",,"I",,,,"No"
"Melita longidactyla",,"I",,"I",,,,"No"
"Melita nitida",,"I","I","I","I",,,"No"
"Melita obtusata",,"III",,"III",,,,"No"
"Melita palmata",,"I",,"I",,,,"No"
"Melita pellucida",,"III",,"III",,,,"No"
"Melita tuberculata",,"I",,"I",,,,"No"
"Melita valesi",,"I",,"I",,,,"No"
"Melitidae",,"II","II",,"II",,,"No"
"Melphidippa",,"II",,"II",,,,"No"
"Melphidippa borealis",,"II",,"II",,,,"No"
"Melphidippella",,"II",,"II",,,,"No"
"Melphidippella macra",,"II",,"II",,,,"No"
"Melphisana bola",,"I",,"I",,,,"No"
"Membranipora membranacea",,"I",,"I",,,,"No"
"Mendicula ferruginosa",,"II",,"II",,,,"No"
"Mercenaria mercenaria",,"III","III","II","III",,,"No"
"Mercierella enigmatica",,"III",,"III",,,,"No"
"Meretrix meretrix",,"I",,"I",,,,"No"
"Merisca aequistriata",,"I","I",,,"I",,"No"
"Merona cornucopiae",,"I",,"I",,,,"No"
"Mesochaetopterus",,"III",,"III",,,,"No"
"Mesochaetopterus minutus",,"I",,"I",,,,"No"
"Mesochaetopterus sagittarius",,"III",,"III",,,,"No"
"Mesodesma donacium",,"I",,"I",,,,"No"
"Mesopodopsis slabberi",,"II",,"II",,,,"No"
"Metacarcinus gracilis",,"II","II",,,,"II","No"
"Metacarcinus magister",,"II","II",,,,"II","No"
"Metacrangon spinosissima",,"II",,"II",,,,"No"
"Metamysidopsis elongata",,"II",,"II",,,,"No"
"Metapenaeus joyneri",,"II",,"II",,,,"No"
"Metaphoxus",,"I",,"I",,,,"No"
"Metaphoxus frequens",,"II","II",,,,"II","No"
"Metaphoxus fultoni",,"I",,"I",,,,"No"
"Metaphoxus gruneri",,"I",,"I",,,,"No"
"Metaphoxus pectinatus",,"I",,"I",,,,"No"
"Metaphoxus simplex",,"I",,"I",,,,"No"
"Metasychis disparidentatus",,"I","I","I",,,"I","No"
"Metasychis gotoi",,"II",,"II",,,,"No"
"Metavermilia multicristata",,"III",,"III",,,,"No"
"Metopa",,"II",,"II",,,,"No"
"Metopa alderi",,"II",,"II",,,,"No"
"Metopa borealis",,"II",,"II",,,,"No"
"Metopa bruzelii",,"II",,"II",,,,"No"
"Metopa latimana",,"II",,"II",,,,"No"
"Metopa norvegica",,"II",,"II",,,,"No"
"Metopa propinqua",,"II",,"II",,,,"No"
"Metopa pusilla",,"II",,"II",,,,"No"
"Metopa spectabilis",,"II",,"II",,,,"No"
"Metridium",,"I",,"I",,,,"No"
"Microcardium",,"III",,"III",,,,"No"
"Microchironomus",,"IV",,"IV",,,,"No"
"Microclymene caudata",,"I","I",,,,"I","No"
"Microcosmus squamiger",,"II",,"II",,,,"No"
"Microdeutopus",,"I","I","I",,"I",,"No"
"Microdeutopus algicola",,"I",,"I",,,,"No"
"Microdeutopus anomalus",,"I",,"I",,,,"No"
"Microdeutopus armatus",,"I",,"I",,,,"No"
"Microdeutopus bifidus",,"I",,"I",,,,"No"
"Microdeutopus chelifer",,"I",,"I",,,,"No"
"Microdeutopus damnoniensis",,"I",,"I",,,,"No"
"Microdeutopus gryllotalpa",,"III","III","III","III",,,"No"
"Microdeutopus schmitti",,"I",,"I",,,,"No"
"Microdeutopus similis",,"I",,"I",,,,"No"
"Microdeutopus stationis",,"I",,"I",,,,"No"
"Microdeutopus versiculatus",,"I",,"I",,,,"No"
"Microjassa cumbrensis",,"I",,"I",,,,"No"
"Microjassa litotes",,"II",,"II",,,,"No"
"Micromaldane ornithochaeta",,"I",,"I",,,,"No"
"Micronephthys",,"II",,"II",,,,"No"
"Micronephthys maryae",,"II",,"II",,,,"No"
"Micronephthys minuta",,"II",,"II",,,,"No"
"Micronephthys sphaerocirrata",,"II",,"II",,,,"No"
"Microphiopholis atra",,"II","II",,,"II",,"No"
"Micropholis atra",,"II","II","I",,"II",,"No"
"Microphoxus",,"I",,"I",,,,"No"
"Microphthalmus",,"II","II","II",,,"II","No"
"Microphthalmus aberrans",,"II",,"II",,,,"No"
"Microphthalmus fragilis",,"II",,"II",,,,"No"
"Microphthalmus listensis",,"II",,"II",,,,"No"
"Microphthalmus pseudoaberrans",,"II",,"II",,,,"No"
"Microphthalmus sczelkowii",,"II","II","II","II",,,"No"
"Microphthalmus similis",,"II",,"II",,,,"No"
"Micropleustes nautilus",,"I",,"I",,,,"No"
"Micropodarke dubia",,"III","III","III",,,"III","No"
"Microprotopus",,"I",,"I",,,,"No"
"Microprotopus longimanus",,"I",,"I",,,,"No"
"Microprotopus maculatus",,"I",,"I",,,,"No"
"Microprotopus raneyi",,"I","I","I","I",,,"No"
"Microspio",,"III",,"III",,,,"No"
"Microspio atlantica",,"III",,"III",,,,"No"
"Microspio mecznikowianus",,"III",,"III",,,,"No"
"Microspio microcera",,"II",,"II",,,,"No"
"Microspio pigmentata",,"II","I","II",,,"I","No"
"Micrura",,"II","II","I","II","II","II","No"
"Micrura affinis",,"II","II",,,"II",,"No"
"Micrura alaskensis",,"II","II",,,,"II","No"
"Micrura baltica",,"I",,"I",,,,"No"
"Micrura leidyi",,"I",,"I",,,,"No"
"Minuspio",,"III",,"III",,,,"No"
"Minuspio cirrifera",,"III","III","IV","III",,"II","No"
"Minuspio multibranchiata",,"III",,"III",,,,"No"
"Mitrella",,"I",,"I",,,,"No"
"Mitrella broderipi",,"I",,"I",,,,"No"
"Mitrella gervillii",,"I",,"I",,,,"No"
"Mitrella misera",,"I",,"I",,,,"No"
"Mitrella scripta",,"I",,"I",,,,"No"
"Modiolarca subpicta",,"I",,"I",,,,"No"
"Modiolarca tumida",,"I",,"I",,,,"No"
"Modiolula phaseolina",,"I",,"I",,,,"No"
"Modiolus",,"II","II","I",,,"II","No"
"Modiolus adriaticus",,"I",,"I",,,,"No"
"Modiolus barbatus",,"I",,"I",,,,"No"
"Modiolus demissus",,"I",,"I",,,,"No"
"Modiolus elongatus",,"I",,"I",,,,"No"
"Modiolus gallicus",,"I",,"I",,,,"No"
"Modiolus modiolus",,"II","II","I",,,"II","No"
"Modiolus phaseolinus",,"I",,"I",,,,"No"
"Modulus carchedonius",,"I",,"I",,,,"No"
"Modulus disculus",,"I",,"I",,,,"No"
"Modulus modulus",,"I",,"I",,,,"No"
"Moerella donacina",,"I",,"I",,,,"No"
"Moerella iridescens",,"I",,"I",,,,"No"
"Moerella jedoensis",,"I",,"I",,,,"No"
"Moerella pusilla",,"I",,"I",,,,"No"
"Moerella pygmaea",,"I",,"I",,,,"No"
"Molgula",,"II","II","I",,,"II","No"
"Molgula complanata",,"I",,"I",,,,"No"
"Molgula lutulenta",,"I",,"I",,,,"No"
"Molgula manhattensis",,"I",,"I",,,,"No"
"Molgula occidentalis",,"I",,"I",,,,"No"
"Molgula occulta",,"I",,"I",,,,"No"
"Molgula oculata",,"I",,"I",,,,"No"
"Molpadia intermedia",,"II","II",,,,"II","No"
"Monia patelliformis",,"I",,"I",,,,"No"
"Monocorophium",,"III","III","III","III","III","III","No"
"Monocorophium acherusicum",,"III","III","III","III","III","III","No"
"Monocorophium insidiosum",,"III","III","III",,,"III","No"
"Monocorophium sextonae",,"III","III","III","III",,,"No"
"Monocorophium tuberculatum",,"III","III","III","III","III",,"No"
"Monocorophium uenoi",,"III","III","III",,,"III","No"
"Monoculodes",,"I",,"I",,,,"No"
"Monoculodes acutipes",,"I",,"I",,,,"No"
"Monoculodes borealis",,"I",,"I",,,,"No"
"Monoculodes carinatus",,"I",,"I",,,,"No"
"Monoculodes edwardsi",,"II","II","I","II",,,"No"
"Monoculodes emarginatus",,"I","I",,,,"I","No"
"Monoculodes gibbosus",,"I",,"I",,,,"No"
"Monoculodes griseus",,"I",,"I",,,,"No"
"Monoculodes intermedius",,"I",,"I",,,,"No"
"Monoculodes norvegicus",,"I",,"I",,,,"No"
"Monoculodes packardi",,"I",,"I",,,,"No"
"Monoculodes spinipes",,"I",,"I",,,,"No"
"Monoculodes subnudus",,"I",,"I",,,,"No"
"Monoculodes tenuirostratus",,"I",,"I",,,,"No"
"Monoculodes tesselatus",,"I",,"I",,,,"No"
"Monoculodes tuberculatus",,"I",,"I",,,,"No"
"Monodiamesa",,"I",,"I",,,,"No"
"Monodiamesa bathyphila",,"I",,"I",,,,"No"
"Monophorus erythrosoma",,"I",,"I",,,,"No"
"Monophorus perversus",,"I",,"I",,,,"No"
"Monoporeia affinis",,"I",,"I",,,,"No"
"Monopylephorus",,"V","V",,"V",,,"Yes"
"Monopylephorus irroratus",,"V",,"V",,,,"Yes"
"Monopylephorus rubroniveus",,"V","V","V","V",,,"Yes"
"Montacuta",,"II",,"II",,,,"No"
"Montacuta ferruginosa",,"II",,"II",,,,"No"
"Montacuta substriata",,"II",,"II",,,,"No"
"Montacuta tenella",,"II",,"II",,,,"No"
"Monticellina",,"IV","IV","IV",,"IV",,"No"
"Monticellina baptisteae",,"III","III","IV","III",,,"No"
"Monticellina cryptica",,"IV","IV","IV",,,"IV","No"
"Monticellina dorsobranchialis",,"IV","IV","IV","III","IV",,"No"
"Monticellina heterochaeta",,"IV",,"IV",,,,"No"
"Monticellina serratiseta",,"II","II",,,,"II","No"
"Monticellina siblina",,"III","III","IV",,,"III","No"
"Monticellina tesselata",,"II","II","IV",,,"II","No"
"Mooreonuphis",,"II",,"II",,,,"No"
"Mooreonuphis dangrigae",,"II",,"II",,,,"No"
"Mooreonuphis nebulosa",,"II","II","II",,"II",,"No"
"Mooreonuphis pallidula",,"II","II","II",,"II",,"No"
"Mooreonuphis stigmatis",,"II",,"II",,,,"No"
"Mugga",,"II",,"II",,,,"No"
"Mugga wahrbergi",,"II",,"II",,,,"No"
"Mulinia lateralis",,"III","III","IV","IV","II",,"No"
"Munna fabricii",,"II",,"II",,,,"No"
"Munna kroyeri",,"II",,"II",,,,"No"
"Munna minuta",,"II",,"II",,,,"No"
"Munnogonium tillerae",,"I","I","I",,,"I","No"
"Musculista senhousia",,"III","III","III",,,"III","No"
"Musculium",,"III","III",,"III",,,"No"
"Musculium transversum",,"III",,"III",,,,"No"
"Musculus",,"I",,"I",,,,"No"
"Musculus costulatus",,"I",,"I",,,,"No"
"Musculus discors",,"I",,"I",,,,"No"
"Musculus lateralis",,"I","I","I",,"I",,"No"
"Musculus marmoratus",,"I",,"I",,,,"No"
"Musculus niger",,"I",,"I",,,,"No"
"Musculus subpictus",,"I",,"I",,,,"No"
"Mya",,"II",,"II",,,,"No"
"Mya arenaria",,"II","II","II","III",,"II","No"
"Mya truncata",,"II",,"II",,,,"No"
"Myosotella myosotis",,"II","II",,,,"II","No"
"Myrianida brachycephala",,"II",,"II",,,,"No"
"Myrianida edwardsi",,"II",,"II",,,,"No"
"Myrianida fasciata",,"II",,"II",,,,"No"
"Myrianida longoprimicirrata",,"II",,"II",,,,"No"
"Myrianida multidentaculata",,"II",,"II",,,,"No"
"Myrianida multidentata",,"II",,"II",,,,"No"
"Myrianida pinnigera",,"II",,"II",,,,"No"
"Myrianida prolifera",,"II",,"II",,,,"No"
"Myrianida rubropunctata",,"II",,"II",,,,"No"
"Myriochele",,"III",,"III",,,,"No"
"Myriochele danielsseni",,"III",,"III",,,,"No"
"Myriochele fragilis",,"III",,"III",,,,"No"
"Myriochele gracilis",,"II","II",,,,"II","No"
"Myriochele heeri",,"III",,"III",,,,"No"
"Myriochele oculata",,"III",,"III",,,,"No"
"Myriochele olgae",,"II","II",,,,"II","No"
"Myriochele picta",,"III",,"III",,,,"No"
"Myriochele striolata",,"II","II",,,,"II","No"
"Myrtea",,"II",,"II",,,,"No"
"Myrtea spinifera",,"II",,"II",,,,"No"
"Mysella",,"III",,"III",,,,"No"
"Mysella bidentata",,"III",,"III",,,,"No"
"Mysella obliquata",,"III",,"III",,,,"No"
"Mysella planulata",,"II","II","III","II","II",,"No"
"Mysella tumidula",,"III",,"III",,,,"No"
"Mysia",,"I",,"I",,,,"No"
"Mysia undata",,"I",,"I",,,,"No"
"Mysida","Yes",,,"II",,,,"No"
"Mysidella americana",,"II",,"II",,,,"No"
"Mysidopsis",,"II",,"II",,,,"No"
"Mysidopsis californica",,"II",,"II",,,,"No"
"Mysidopsis furca",,"II",,"II",,,,"No"
"Mysidopsis intii",,"II",,"II",,,,"No"
"Mysis",,"II",,"II",,,,"No"
"Mysta barbata",,"III",,"III",,,,"No"
"Mysta picta",,"III",,"III",,,,"No"
"Mysta siphonodonta",,"II",,"II",,,,"No"
"Mysta tchangsii",,"III",,"III",,,,"No"
"Mystides",,"II",,"II",,,,"No"
"Mystides augeneri",,"II",,"II",,,,"No"
"Mystides borealis",,"II",,"II",,,,"No"
"Mystides borealis caeca",,"II",,"II",,,,"No"
"Mystides caeca",,"II",,"II",,,,"No"
"Mystides elongata",,"II",,"II",,,,"No"
"Mystides limbata",,"II",,"II",,,,"No"
"Mystides southerni",,"II",,"II",,,,"No"
"Mytilaster marioni",,"I",,"I",,,,"No"
"Mytilaster minimus",,"I",,"I",,,,"No"
"Mytilopsis leucophaeata",,"III",,"III",,,,"No"
"Mytilus",,"III",,"III",,,,"No"
"Mytilus chilensis",,"III",,"III",,,,"No"
"Mytilus edulis",,"III","III","III","III",,,"No"
"Mytilus galloprovincialis",,"III",,"III",,,,"No"
"Myxicola",,"II",,"II",,,,"No"
"Myxicola aesthetica",,"II",,"II",,,,"No"
"Myxicola infundibulum",,"II","II","II",,"II",,"No"
"Myxicola steenstrupi",,"II",,"II",,,,"No"
"Naididae",,"IV","IV","V",,"IV","V","Yes"
"NAIDINAE",,"V",,"V",,,,"Yes"
"Naineris",,"I",,"I",,,,"No"
"Naineris bicornis",,"I",,"I",,,,"No"
"Naineris dendritica",,"I",,"I",,,,"No"
"Naineris grubei",,"I",,"I",,,,"No"
"Naineris laevigata",,"I",,"I",,,,"No"
"Naineris quadricuspida",,"I",,"I",,,,"No"
"Naineris uncinata",,"I","I","I",,,"I","No"
"Nais",,"IV",,"IV",,,,"Yes"
"Nais communis",,"IV",,"IV",,,,"Yes"
"Nais elinguis",,"IV",,"IV",,,,"Yes"
"Nais pardalis",,"IV",,"IV",,,,"Yes"
"Nais pseudobtusa",,"IV",,"IV",,,,"Yes"
"Nais simplex",,"IV",,"IV",,,,"Yes"
"Nais variabilis",,"IV",,"IV",,,,"Yes"
"Namalycastis abiuma",,"III",,"III",,,,"No"
"Nannastacidae",,"II","II","II",,"II",,"No"
"Nannastacus longirostris",,"II",,"II",,,,"No"
"Nannastacus unguiculatus",,"II",,"II",,,,"No"
"Nannonyx goesi",,"I",,"I",,,,"No"
"Nasarius gayi",,"III",,"III",,,,"No"
"Nassarina penicillata",,"II",,"II",,,,"No"
"Nassarius",,"II","II","II",,"II",,"No"
"Nassarius acutus",,"II","II","II",,"II",,"No"
"Nassarius cabrierensis ovoideus",,"II",,"II",,,,"No"
"Nassarius copingeri",,"III",,"III",,,,"No"
"Nassarius corniculum",,"II",,"II",,,,"No"
"Nassarius crematus",,"II",,"II",,,,"No"
"Nassarius cuvierii",,"II",,"II",,,,"No"
"Nassarius dentifer",,"II",,"II",,,,"No"
"Nassarius festivus",,"II",,"II",,,,"No"
"Nassarius incrassatus",,"II",,"II",,,,"No"
"Nassarius mendicus",,"II","II",,,,"II","No"
"Nassarius mutabilis",,"II",,"II",,,,"No"
"Nassarius nitidus",,"II",,"II",,,,"No"
"Nassarius novaehollandiae",,"II",,"II",,,,"No"
"Nassarius obsoletus",,"III","III",,"III",,,"No"
"Nassarius ovoideus",,"II",,"II",,,,"No"
"Nassarius perpinguis",,"II","II","II",,,"II","No"
"Nassarius pygmaeus",,"II",,"II",,,,"No"
"Nassarius reticulatus",,"II",,"II",,,,"No"
"Nassarius succinctus",,"II",,"II",,,,"No"
"Nassarius tiarula",,"II",,"II",,,,"No"
"Nassarius trivittatus",,"II",,"II",,,,"No"
"Nassarius variciferus",,"II",,"II",,,,"No"
"Nassarius vibex",,"II","II","II","II","II",,"No"
"Natantia",,"III",,"III",,,,"No"
"Natica",,"II",,"II",,,,"No"
"Natica alderi",,"II",,"II",,,,"No"
"Natica canrena",,"II",,"II",,,,"No"
"Natica catena",,"II",,"II",,,,"No"
"Natica furva",,"II",,"II",,,,"No"
"Natica guillemini",,"II",,"II",,,,"No"
"Natica hebraea",,"II",,"II",,,,"No"
"Natica montagui",,"II",,"II",,,,"No"
"Natica poliana",,"II",,"II",,,,"No"
"Natica rizzae",,"II",,"II",,,,"No"
"Natica stercusmuscarum",,"II",,"II",,,,"No"
"Natica vitelius",,"II",,"II",,,,"No"
"Naticarius",,"II",,"II",,,,"No"
"Naticarius dillwyni",,"II",,"II",,,,"No"
"Naticarius guillemini",,"II",,"II",,,,"No"
"Naticarius hebraeus",,"II",,"II",,,,"No"
"Naticidae","Yes",,,"II",,,,"No"
"Naushonia macginitiei",,"I",,"I",,,,"No"
"Navanax inermis",,"I",,"I",,,,"No"
"Neanthes",,"III","III","III",,"III",,"No"
"Neanthes acuminata",,"III","III","III","III","III","III","No"
"Neanthes arenaceodentata",,"III","III",,"III",,,"No"
"Neanthes caudata",,"IV",,"IV",,,,"No"
"Neanthes flava",,"III",,"III",,,,"No"
"Neanthes flavipes",,"III",,"III",,,,"No"
"Neanthes fucata",,"III",,"III",,,,"No"
"Neanthes glandicincta",,"I",,"I",,,,"No"
"Neanthes irrorata",,"IV",,"IV",,,,"No"
"Neanthes japonica",,"III",,"III",,,,"No"
"Neanthes limnicola",,"II","II",,,,"II","No"
"Neanthes micromma",,"III",,"III",,,,"No"
"Neanthes nubila",,"III",,"III",,,,"No"
"Neanthes rubicunda",,"III",,"III",,,,"No"
"Neanthes succinea",,"III","III","III","III","III","III","No"
"Neanthes virens",,"III",,"III",,,,"No"
"Neanthes zonata",,"III",,"III",,,,"No"
"Neastacilla californica",,"I",,"I",,,,"No"
"Nebalia",,"V",,"V",,,,"No"
"Nebalia bipes",,"V",,"V",,,,"No"
"Nebalia daytoni",,"III",,"III",,,,"No"
"Nebalia herbsti",,"V",,"V",,,,"No"
"Nebalia pugettensis",,"III","III","III",,,"III","No"
"Nebalia strausi",,"V",,"V",,,,"No"
"Nebalia troncosoi",,"V",,"V",,,,"No"
"Nebalia typhlops",,"II",,"II",,,,"No"
"Necora puber",,"I",,"I",,,,"No"
"Nectoneanthes alatopalpis",,"III",,"III",,,,"No"
"Nectoneanthes multignatha",,"III",,"III",,,,"No"
"Nectoneanthes oxypoda",,"III",,"III",,,,"No"
"Nematoda",,"III",,"III",,,,"No"
"Nematonereis",,"II",,"II",,,,"No"
"Nematonereis hebes",,"II",,"II",,,,"No"
"Nematonereis unicornis",,"II",,"II",,,,"No"
"Nemertea","Yes",,,,"II","II",,"No"
"Nemertesia ramosa",,"I",,"I",,,,"No"
"Nemertina",,"III",,"III",,,,"No"
"Nemocardium centifilosum",,"II","II","II",,,"II","No"
"Neoamphitrite",,"I",,"I",,,,"No"
"Neoamphitrite affinis",,"I",,"I",,,,"No"
"Neoamphitrite edwardsi",,"I",,"I",,,,"No"
"Neoamphitrite figulus",,"I",,"I",,,,"No"
"Neoamphitrite grayi",,"I",,"I",,,,"No"
"Neogonodactylus bredini",,"I",,"I",,,,"No"
"Neohela",,"I",,"I",,,,"No"
"Neohela monstrosa",,"I",,"I",,,,"No"
"Neoischyrocerus claustris",,"II",,"II",,,,"No"
"Neoleanira",,"II",,"II",,,,"No"
"Neoleanira tetragona",,"II",,"II",,,,"No"
"Neolepton obliquatum",,"III",,"III",,,,"No"
"Neomenia",,"I",,"I",,,,"No"
"Neomenia carinata",,"I",,"I",,,,"No"
"Neomysis",,"II",,"II",,,,"No"
"Neomysis americana",,"II","II","II","II",,,"No"
"Neomysis integer",,"II",,"II",,,,"No"
"Neomysis mercedis",,"II","II",,,,"II","No"
"Neosabellaria cementarium",,"II","II","II",,,"II","No"
"Neotrypaea",,"III","III","III",,,"III","No"
"Neotrypaea californiensis",,"III","III",,,,"III","No"
"Neoxenophthalmus obscurus",,"II",,"II",,,,"No"
"Nephasoma",,"I",,"I",,,,"No"
"Nephasoma diaphanes",,"I",,"I",,,,"No"
"Nephasoma minutum",,"I",,"I",,,,"No"
"Nephrops",,"I",,"I",,,,"No"
"Nephrops norvegicus",,"I",,"I",,,,"No"
"Nephtyidae",,"II","II",,"II",,,"No"
"Nephtys",,"II","II","II","II",,"II","No"
"Nephtys assimilis",,"II",,"II",,,,"No"
"Nephtys bilobata",,"II",,"II",,,,"No"
"Nephtys bucera",,"II","II",,"II","II",,"No"
"Nephtys caeca",,"II","II","II","II",,"II","No"
"Nephtys caecoides",,"II","II","II",,,"II","No"
"Nephtys californiensis",,"II","II","II",,,"II","No"
"Nephtys ciliata",,"II",,"II",,,,"No"
"Nephtys cirrosa",,"II",,"II",,,,"No"
"Nephtys cornuta",,"II",,"II",,,,"No"
"Nephtys cuvieri",,"II",,"II",,,,"No"
"Nephtys dibranchis",,"II",,"II",,,,"No"
"Nephtys ferruginea",,"II","II","II",,,"II","No"
"Nephtys fluviatilis",,"II",,"II",,,,"No"
"Nephtys hombergii",,"II",,"II",,,,"No"
